economy,period,lsci_value
"China, Taiwan Province of",2006Q03,349.64032
Cocos (Keeling) Islands,2006Q03,3.4796
Colombia,2006Q03,132.88003
Comoros,2006Q03,12.85771
Congo,2006Q03,51.78551
Cook Islands,2006Q03,3.26918
Costa Rica,2006Q03,83.40829
Cote d'Ivoire,2006Q03,81.97779
Croatia,2006Q03,34.16065
Cuba,2006Q03,31.87183
Curacao,2006Q03,
Cyprus,2006Q03,58.07351
Dem. People's Rep. of Korea,2006Q03,2.98765
Dem. Rep. of the Congo,2006Q03,18.94878
Denmark,2006Q03,74.17345
Djibouti,2006Q03,52.22772
Dominica,2006Q03,22.39212
Dominican Republic,2006Q03,104.64603
Ecuador,2006Q03,75.01953
Egypt,2006Q03,232.01671
El Salvador,2006Q03,25.99996
Equatorial Guinea,2006Q03,22.26095
Eritrea,2006Q03,13.10859
Estonia,2006Q03,35.05663
Faroe Islands,2006Q03,11.58728
Fiji,2006Q03,46.69016
Finland,2006Q03,93.73677
France,2006Q03,295.90887
French Guiana,2006Q03,21.66854
French Polynesia,2006Q03,41.7177
Gabon,2006Q03,34.79831
Gambia,2006Q03,13.89927
Georgia,2006Q03,20.30178
Germany,2006Q03,481.7673
Ghana,2006Q03,82.34712
Gibraltar,2006Q03,8.81838
Greece,2006Q03,133.90068
Greenland,2006Q03,4.48596
Grenada,2006Q03,22.66404
Guadeloupe,2006Q03,36.40295
Guam,2006Q03,23.08387
Guatemala,2006Q03,92.74294
Guernsey,2006Q03,4.75538
Guinea,2006Q03,37.12432
Guinea-Bissau,2006Q03,14.90269
Guyana,2006Q03,35.97689
Haiti,2006Q03,24.9844
Honduras,2006Q03,63.57775
Iceland,2006Q03,18.65427
India,2006Q03,213.63187
Indonesia,2006Q03,217.46886
Iran (Islamic Republic of),2006Q03,105.60926
Iraq,2006Q03,7.2763
Ireland,2006Q03,72.59983
Israel,2006Q03,103.65972
Italy,2006Q03,335.27614
Jamaica,2006Q03,112.13077
Japan,2006Q03,527.51982
Jersey,2006Q03,4.75538
Jordan,2006Q03,65.57897
Kenya,2006Q03,59.34681
Kuwait,2006Q03,49.41773
Latvia,2006Q03,37.18816
Lebanon,2006Q03,69.3301
Liberia,2006Q03,14.97452
Libya,2006Q03,39.77039
Lithuania,2006Q03,38.75222
Madagascar,2006Q03,36.39868
Malaysia,2006Q03,397.11757
Maldives,2006Q03,14.36977
Malta,2006Q03,104.21015
Marshall Islands,2006Q03,17.4306
Martinique,2006Q03,39.35448
Mauritania,2006Q03,24.27135
Mauritius,2006Q03,58.23842
Mayotte,2006Q03,20.03287
Mexico,2006Q03,139.67402
Micronesia (Federated States of),2006Q03,11.32361
Montenegro,2006Q03,
Morocco,2006Q03,65.9923
Mozambique,2006Q03,32.46615
Myanmar,2006Q03,16.19333
Namibia,2006Q03,32.15597
Netherlands (Kingdom of the),2006Q03,447.76239
Netherlands Antilles,2006Q03,55.61629
New Caledonia,2006Q03,46.56523
New Zealand,2006Q03,91.16842
Nicaragua,2006Q03,23.64195
Nigeria,2006Q03,79.02927
Norfolk Island,2006Q03,2.6154
Northern Mariana Islands,2006Q03,5.88491
Norway,2006Q03,43.9289
Oman,2006Q03,90.17254
Pakistan,2006Q03,119.03791
Palau,2006Q03,9.88501
Panama,2006Q03,124.22225
Papua New Guinea,2006Q03,36.36638
Peru,2006Q03,87.14655
Philippines,2006Q03,112.92433
Poland,2006Q03,56.5431
Portugal,2006Q03,126.32958
Puerto Rico,2006Q03,66.30706
Qatar,2006Q03,39.18632
Republic of Korea,2006Q03,432.30873
Reunion,2006Q03,44.97132
Romania,2006Q03,67.80614
Russian Federation,2006Q03,129.71343
Saint Kitts and Nevis,2006Q03,12.20994
Saint Lucia,2006Q03,22.67148
Saint Vincent and the Grenadines,2006Q03,24.93049
Samoa,2006Q03,36.39875
Sao Tome and Principe,2006Q03,12.60991
Saudi Arabia,2006Q03,197.27432
Senegal,2006Q03,62.10892
Serbia and Montenegro,2006Q03,4.59942
Seychelles,2006Q03,24.5852
Sierra Leone,2006Q03,14.97452
Singapore,2006Q03,527.40355
Sint Maarten (Dutch part),2006Q03,
Slovenia,2006Q03,47.10506
Solomon Islands,2006Q03,21.48419
Somalia,2006Q03,13.79798
South Africa,2006Q03,130.46404
Spain,2006Q03,403.02067
Sri Lanka,2006Q03,170.25722
Sudan,2006Q03,
Sudan (...2011),2006Q03,34.51789
Suriname,2006Q03,38.21553
Sweden,2006Q03,120.6473
Syrian Arab Republic,2006Q03,50.05556
Thailand,2006Q03,200.1437
Timor-Leste,2006Q03,3.33778
Togo,2006Q03,55.31117
Tonga,2006Q03,25.0614
Trinidad and Tobago,2006Q03,80.24571
Tunisia,2006Q03,47.71688
Turkiye,2006Q03,172.27333
Turks and Caicos Islands,2006Q03,6.2486
Ukraine,2006Q03,59.0657
United Arab Emirates,2006Q03,256.04802
United Kingdom,2006Q03,500.67099
United Republic of Tanzania,2006Q03,55.81238
United States,2006Q03,519.00991
United States Virgin Islands,2006Q03,20.75884
Uruguay,2006Q03,71.51863
Vanuatu,2006Q03,24.60649
Venezuela (Bolivarian Rep. of),2006Q03,113.68516
Viet Nam,2006Q03,137.04952
Wallis and Futuna Islands,2006Q03,9.46819
Yemen,2006Q03,61.51176
Albania,2006Q04,5.0079
Algeria,2006Q04,63.23653
American Samoa,2006Q04,38.53257
Angola,2006Q04,63.82782
Antigua and Barbuda,2006Q04,24.66254
Argentina,2006Q04,109.27436
Aruba,2006Q04,23.23372
Australia,2006Q04,140.76853
Bahamas,2006Q04,53.38475
Bahrain,2006Q04,34.36579
Bangladesh,2006Q04,46.16775
Barbados,2006Q04,37.09162
Belgium,2006Q04,423.3419
Belize,2006Q04,12.46633
Benin,2006Q04,46.05578
Bermuda,2006Q04,7.79287
"Bonaire, Sint Eustatius and Saba",2006Q04,
Brazil,2006Q04,160.17743
British Virgin Islands,2006Q04,11.94465
Brunei Darussalam,2006Q04,20.67829
Bulgaria,2006Q04,35.745400000000004
Cabo Verde,2006Q04,19.1367
Cambodia,2006Q04,20.701810000000002
Cameroon,2006Q04,66.26526
Canada,2006Q04,153.17988
Cayman Islands,2006Q04,10.38536
Chile,2006Q04,80.23236
China,2006Q04,749.38669
"China, Hong Kong SAR",2006Q04,556.21166
"China, Taiwan Province of",2006Q04,344.31149
Cocos (Keeling) Islands,2006Q04,3.4796
Colombia,2006Q04,127.52628
Comoros,2006Q04,13.24172
Congo,2006Q04,52.62371
Cook Islands,2006Q04,3.26918
Costa Rica,2006Q04,85.20061
Cote d'Ivoire,2006Q04,82.4791
Croatia,2006Q04,33.41202
Cuba,2006Q04,31.93749
Curacao,2006Q04,
Cyprus,2006Q04,58.64982
Dem. People's Rep. of Korea,2006Q04,2.98765
Dem. Rep. of the Congo,2006Q04,18.94878
Denmark,2006Q04,85.81239
Djibouti,2006Q04,61.92537
Dominica,2006Q04,22.39212
Dominican Republic,2006Q04,112.24609
Ecuador,2006Q04,73.91327
Egypt,2006Q04,229.90895
El Salvador,2006Q04,26.03309
Equatorial Guinea,2006Q04,22.12365
Eritrea,2006Q04,13.29261
Estonia,2006Q04,27.580750000000002
Faroe Islands,2006Q04,12.26472
Fiji,2006Q04,47.84456
Finland,2006Q04,84.45455
France,2006Q04,298.73708
French Guiana,2006Q04,20.80534
French Polynesia,2006Q04,41.04878
Gabon,2006Q04,35.55013
Gambia,2006Q04,12.75506
Georgia,2006Q04,19.64694
Germany,2006Q04,474.6769
Ghana,2006Q04,81.99419
Gibraltar,2006Q04,8.81838
Greece,2006Q04,134.93551
Greenland,2006Q04,4.48596
Grenada,2006Q04,22.66404
Guadeloupe,2006Q04,35.11282
Guam,2006Q04,23.08387
Guatemala,2006Q04,88.40964
Guernsey,2006Q04,4.75538
Guinea,2006Q04,38.55989
Guinea-Bissau,2006Q04,14.90269
Guyana,2006Q04,32.32614
Haiti,2006Q04,24.98187
Honduras,2006Q04,63.49692
Iceland,2006Q04,19.32718
India,2006Q04,211.67495
Indonesia,2006Q04,223.33373
Iran (Islamic Republic of),2006Q04,108.58697
Iraq,2006Q04,6.0264
Ireland,2006Q04,71.61106
Israel,2006Q04,103.83583
Italy,2006Q04,343.5613
Jamaica,2006Q04,103.05021
Japan,2006Q04,527.05489
Jersey,2006Q04,4.75538
Jordan,2006Q04,68.20509
Kenya,2006Q04,60.77146
Kuwait,2006Q04,49.43781
Latvia,2006Q04,31.3198
Lebanon,2006Q04,72.39873
Liberia,2006Q04,16.54615
Libya,2006Q04,44.104
Lithuania,2006Q04,38.68044
Madagascar,2006Q04,37.23709
Malaysia,2006Q04,404.78635
Maldives,2006Q04,14.36977
Malta,2006Q04,101.65515
Marshall Islands,2006Q04,17.4306
Martinique,2006Q04,38.51089
Mauritania,2006Q04,26.03838
Mauritius,2006Q04,58.44586
Mayotte,2006Q04,20.71032
Mexico,2006Q04,142.52994
Micronesia (Federated States of),2006Q04,11.32361
Montenegro,2006Q04,
Morocco,2006Q04,64.86966
Mozambique,2006Q04,32.08075
Myanmar,2006Q04,16.19333
Namibia,2006Q04,29.33354
Netherlands (Kingdom of the),2006Q04,443.48705
Netherlands Antilles,2006Q04,56.11027
New Caledonia,2006Q04,47.71331
New Zealand,2006Q04,93.55424
Nicaragua,2006Q04,23.66145
Nigeria,2006Q04,81.15685
Norfolk Island,2006Q04,2.6154
Northern Mariana Islands,2006Q04,5.88491
Norway,2006Q04,48.20264
Oman,2006Q04,100.50078
Pakistan,2006Q04,123.80412
Palau,2006Q04,9.88501
Panama,2006Q04,128.34081
Papua New Guinea,2006Q04,37.51446
Peru,2006Q04,85.44375
Philippines,2006Q04,118.44676
Poland,2006Q04,56.66879
Portugal,2006Q04,124.61197
Puerto Rico,2006Q04,73.0473
Qatar,2006Q04,39.18632
Republic of Korea,2006Q04,438.42559
Reunion,2006Q04,45.31888
Romania,2006Q04,69.65869
Russian Federation,2006Q04,133.4618
Saint Kitts and Nevis,2006Q04,12.20994
Saint Lucia,2006Q04,22.67148
Saint Vincent and the Grenadines,2006Q04,24.93049
Samoa,2006Q04,33.85106
Sao Tome and Principe,2006Q04,11.83399
Saudi Arabia,2006Q04,195.83735
Senegal,2006Q04,63.00312
Serbia and Montenegro,2006Q04,4.59942
Seychelles,2006Q04,24.96921
Sierra Leone,2006Q04,13.82644
Singapore,2006Q04,543.09908
Sint Maarten (Dutch part),2006Q04,
Slovenia,2006Q04,52.25481
Solomon Islands,2006Q04,21.48419
Somalia,2006Q04,14.49054
South Africa,2006Q04,136.17768
Spain,2006Q04,398.11839
Sri Lanka,2006Q04,177.46325
Sudan,2006Q04,
Sudan (...2011),2006Q04,34.88149
Suriname,2006Q04,39.10105
Sweden,2006Q04,117.78883
Syrian Arab Republic,2006Q04,49.14459
Thailand,2006Q04,201.89549
Timor-Leste,2006Q04,3.33778
Togo,2006Q04,53.68424
Tonga,2006Q04,22.10106
Trinidad and Tobago,2006Q04,82.70441
Tunisia,2006Q04,52.10637
Turkiye,2006Q04,174.52266
Turks and Caicos Islands,2006Q04,6.2486
Ukraine,2006Q04,62.79813
United Arab Emirates,2006Q04,255.91483
United Kingdom,2006Q04,506.75339
United Republic of Tanzania,2006Q04,58.35656
United States,2006Q04,510.85217
United States Virgin Islands,2006Q04,20.75884
Uruguay,2006Q04,66.40071
Vanuatu,2006Q04,25.75457
Venezuela (Bolivarian Rep. of),2006Q04,120.50856
Viet Nam,2006Q04,142.84772
Wallis and Futuna Islands,2006Q04,5.55929
Yemen,2006Q04,64.75569
Albania,2007Q01,5.47757
Algeria,2007Q01,52.50879
American Samoa,2007Q01,37.85513
Angola,2007Q01,60.48298
Antigua and Barbuda,2007Q01,24.66254
Argentina,2007Q01,105.99049
Aruba,2007Q01,25.26881
Australia,2007Q01,141.91856
Bahamas,2007Q01,54.28915
Bahrain,2007Q01,36.926
Bangladesh,2007Q01,46.27047
Barbados,2007Q01,33.86644
Belgium,2007Q01,424.17866
Belize,2007Q01,12.76625
Benin,2007Q01,41.45534
Bermuda,2007Q01,7.79287
"Bonaire, Sint Eustatius and Saba",2007Q01,
Brazil,2007Q01,161.11637
British Virgin Islands,2007Q01,11.94465
Brunei Darussalam,2007Q01,20.905450000000002
Bulgaria,2007Q01,33.48375
Cabo Verde,2007Q01,19.1367
Cambodia,2007Q01,20.66597
Cameroon,2007Q01,65.06944
Canada,2007Q01,150.27522
Cayman Islands,2007Q01,10.38536
Chile,2007Q01,80.36228
China,2007Q01,763.56012
"China, Hong Kong SAR",2007Q01,552.56691
"China, Taiwan Province of",2007Q01,345.5181
Cocos (Keeling) Islands,2007Q01,3.4796
Colombia,2007Q01,118.59108
Comoros,2007Q01,13.24544
Congo,2007Q01,49.57218
Cook Islands,2007Q01,3.26918
Costa Rica,2007Q01,86.7816
Cote d'Ivoire,2007Q01,77.0765
Croatia,2007Q01,39.19906
Cuba,2007Q01,31.95292
Curacao,2007Q01,
Cyprus,2007Q01,60.93737
Dem. People's Rep. of Korea,2007Q01,2.91804
Dem. Rep. of the Congo,2007Q01,17.87871
Denmark,2007Q01,83.24756000000001
Djibouti,2007Q01,61.50351
Dominica,2007Q01,22.39212
Dominican Republic,2007Q01,108.63165
Ecuador,2007Q01,78.54188
Egypt,2007Q01,223.77749
