Quarter,Quarter Label,Economy,Economy Label,Index (Average Q1 2023 = 100),Index (Average Q1 2023 = 100) Footnote,Index (Average Q1 2023 = 100) Missing value,"Growth rate, year-on-year","Growth rate, year-on-year Footnote","Growth rate, year-on-year Missing value",Growth rate (over previous period),Growth rate (over previous period) Footnote,Growth rate (over previous period) Missing value,Ranking per quarter,Ranking per quarter Footnote,Ranking per quarter Missing value
2006Q01,"Q1 2006",776,"Tonga",25.36567,,,,,"No value reported or collected",,,"No value reported or collected",117,,
2006Q01,"Q1 2006",780,"Trinidad and Tobago",79.60568,,,,,"No value reported or collected",,,"No value reported or collected",50,,
2006Q01,"Q1 2006",788,"Tunisia",50.11804,,,,,"No value reported or collected",,,"No value reported or collected",83,,
2006Q01,"Q1 2006",792,"Turkiye",163.3873,,,,,"No value reported or collected",,,"No value reported or collected",23,,
2006Q01,"Q1 2006",796,"Turks and Caicos Islands",6.2486,,,,,"No value reported or collected",,,"No value reported or collected",165,,
2006Q01,"Q1 2006",804,"Ukraine",57.93788,,,,,"No value reported or collected",,,"No value reported or collected",71,,
2006Q01,"Q1 2006",784,"United Arab Emirates",247.93217,,,,,"No value reported or collected",,,"No value reported or collected",16,,
2006Q01,"Q1 2006",826,"United Kingdom",488.02052,,,,,"No value reported or collected",,,"No value reported or collected",6,,
2006Q01,"Q1 2006",834,"United Republic of Tanzania",52.52368,,,,,"No value reported or collected",,,"No value reported or collected",77,,
2006Q01,"Q1 2006",840,"United States",505.61338,,,,,"No value reported or collected",,,"No value reported or collected",4,,
2006Q01,"Q1 2006",850,"United States Virgin Islands",22.11373,,,,,"No value reported or collected",,,"No value reported or collected",126,,
2006Q01,"Q1 2006",858,"Uruguay",68.6549,,,,,"No value reported or collected",,,"No value reported or collected",62,,
2006Q01,"Q1 2006",548,"Vanuatu",23.31189,,,,,"No value reported or collected",,,"No value reported or collected",122,,
2006Q01,"Q1 2006",862,"Venezuela (Bolivarian Rep. of)",115.95256,,,,,"No value reported or collected",,,"No value reported or collected",39,,
2006Q01,"Q1 2006",704,"Viet Nam",135.02343,,,,,"No value reported or collected",,,"No value reported or collected",28,,
2006Q01,"Q1 2006",876,"Wallis and Futuna Islands",9.46819,,,,,"No value reported or collected",,,"No value reported or collected",158,,
2006Q01,"Q1 2006",887,"Yemen",55.36304,,,,,"No value reported or collected",,,"No value reported or collected",75,,
2006Q02,"Q2 2006",012,"Algeria",61.42829,,,,,"No value reported or collected",2.8914,,,68,,
2006Q02,"Q2 2006",016,"American Samoa",31.72275,,,,,"No value reported or collected",-0.0162,,,113,,
2006Q02,"Q2 2006",024,"Angola",63.25063,,,,,"No value reported or collected",2.7715,,,67,,
2006Q02,"Q2 2006",660,"Anguilla",6.89738,,,,,"No value reported or collected",-10.788,,,163,,
2006Q02,"Q2 2006",028,"Antigua and Barbuda",24.65153,,,,,"No value reported or collected",7.5026,,,123,,
2006Q02,"Q2 2006",032,"Argentina",114.39198,,,,,"No value reported or collected",-1.9272,,,38,,
2006Q02,"Q2 2006",533,"Aruba",30.64206,,,,,"No value reported or collected",11.0186,,,114,,
2006Q02,"Q2 2006",036,"Australia",141.64793,,,,,"No value reported or collected",1.7626,,,27,,
2006Q02,"Q2 2006",044,"Bahamas",53.47718,,,,,"No value reported or collected",-7.9148,,,75,,
2006Q02,"Q2 2006",048,"Bahrain",33.71766,,,,,"No value reported or collected",0.0054,,,107,,
2006Q02,"Q2 2006",050,"Bangladesh",44.42613,,,,,"No value reported or collected",7.6093,,,88,,
2006Q02,"Q2 2006",052,"Barbados",36.60703,,,,,"No value reported or collected",0,,,101,,
2006Q02,"Q2 2006",056,"Belgium",422.96782,,,,,"No value reported or collected",0.6407,,,10,,
2006Q02,"Q2 2006",084,"Belize",14.72717,,,,,"No value reported or collected",0,,,143,,
2006Q02,"Q2 2006",204,"Benin",39.97549,,,,,"No value reported or collected",-19.4393,,,92,,
2006Q02,"Q2 2006",060,"Bermuda",7.79287,,,,,"No value reported or collected",0,,,161,,
2006Q02,"Q2 2006",535,"Bonaire, Sint Eustatius and Saba",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
2006Q02,"Q2 2006",076,"Brazil",164.8024,,,,,"No value reported or collected",-0.3256,,,23,,
2006Q02,"Q2 2006",092,"British Virgin Islands",13.69095,,,,,"No value reported or collected",2.943,,,149,,
2006Q02,"Q2 2006",096,"Brunei Darussalam",21.21285,,,,,"No value reported or collected",0.094,,,135,,
2006Q02,"Q2 2006",100,"Bulgaria",36.47124,,,,,"No value reported or collected",-4.5931,,,102,,
2006Q02,"Q2 2006",132,"Cabo Verde",15.54513,,,,,"No value reported or collected",-1.5579,,,141,,
2006Q02,"Q2 2006",116,"Cambodia",17.10097,,,,,"No value reported or collected",0.0566,,,140,,
2006Q02,"Q2 2006",120,"Cameroon",66.46748,,,,,"No value reported or collected",-2.343,,,64,,
2006Q02,"Q2 2006",124,"Canada",158.75587,,,,,"No value reported or collected",0.8278,,,25,,
2006Q02,"Q2 2006",136,"Cayman Islands",9.32752,,,,,"No value reported or collected",0,,,159,,
2006Q02,"Q2 2006",152,"Chile",82.9421,,,,,"No value reported or collected",5.929,,,51,,
2006Q02,"Q2 2006",156,"China",736.63867,,,,,"No value reported or collected",2.6367,,,1,,
2006Q02,"Q2 2006",344,"China, Hong Kong SAR",558.63365,,,,,"No value reported or collected",0.5939,,,2,,
2006Q02,"Q2 2006",158,"China, Taiwan Province of",359.37917,,,,,"No value reported or collected",0.2117,,,13,,
2006Q02,"Q2 2006",166,"Cocos (Keeling) Islands",3.4796,,,,,"No value reported or collected",0,,,171,,
2006Q02,"Q2 2006",170,"Colombia",138.20547,,,,,"No value reported or collected",5.5692,,,28,,
2006Q02,"Q2 2006",174,"Comoros",12.03538,,,,,"No value reported or collected",-8.7222,,,153,,
2006Q02,"Q2 2006",178,"Congo",52.52665,,,,,"No value reported or collected",5.6948,,,79,,
2006Q02,"Q2 2006",184,"Cook Islands",3.26918,,,,,"No value reported or collected",0,,,172,,
2006Q02,"Q2 2006",188,"Costa Rica",83.26934,,,,,"No value reported or collected",3.0944,,,50,,
2006Q02,"Q2 2006",384,"Cote d'Ivoire",78.85658,,,,,"No value reported or collected",2.0117,,,53,,
2006Q02,"Q2 2006",191,"Croatia",33.70627,,,,,"No value reported or collected",7.1108,,,108,,
2006Q02,"Q2 2006",192,"Cuba",32.35024,,,,,"No value reported or collected",-1.5495,,,112,,
2006Q02,"Q2 2006",531,"Curacao",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
2006Q02,"Q2 2006",196,"Cyprus",56.05383,,,,,"No value reported or collected",-2.5735,,,72,,
2006Q02,"Q2 2006",408,"Dem. People's Rep. of Korea",2.98765,,,,,"No value reported or collected",0,,,173,,
2006Q02,"Q2 2006",180,"Dem. Rep. of the Congo",21.56402,,,,,"No value reported or collected",0.0464,,,133,,
2006Q02,"Q2 2006",208,"Denmark",71.99891,,,,,"No value reported or collected",4.7475,,,59,,
2006Q02,"Q2 2006",262,"Djibouti",50.47184,,,,,"No value reported or collected",-0.9262,,,82,,
2006Q02,"Q2 2006",212,"Dominica",22.39212,,,,,"No value reported or collected",-5.7055,,,130,,
2006Q02,"Q2 2006",214,"Dominican Republic",106.02292,,,,,"No value reported or collected",-1.4117,,,41,,
2006Q02,"Q2 2006",218,"Ecuador",68.69455,,,,,"No value reported or collected",-0.3579,,,60,,
2006Q02,"Q2 2006",818,"Egypt",226.91588,,,,,"No value reported or collected",2.6237,,,17,,
2006Q02,"Q2 2006",222,"El Salvador",27.03703,,,,,"No value reported or collected",7.7328,,,116,,
2006Q02,"Q2 2006",226,"Equatorial Guinea",24.64196,,,,,"No value reported or collected",5.6825,,,124,,
2006Q02,"Q2 2006",232,"Eritrea",10.68293,,,,,"No value reported or collected",-19.3523,,,155,,
2006Q02,"Q2 2006",233,"Estonia",30.38591,,,,,"No value reported or collected",-6.8385,,,115,,
2006Q02,"Q2 2006",234,"Faroe Islands",11.58728,,,,,"No value reported or collected",0,,,154,,
2006Q02,"Q2 2006",242,"Fiji",41.55977,,,,,"No value reported or collected",18.3427,,,90,,
2006Q02,"Q2 2006",246,"Finland",84.7415,,,,,"No value reported or collected",3.7899,,,48,,
2006Q02,"Q2 2006",250,"France",296.3967,,,,,"No value reported or collected",-0.7971,,,15,,
2006Q02,"Q2 2006",254,"French Guiana",21.66854,,,,,"No value reported or collected",0,,,131,,
2006Q02,"Q2 2006",258,"French Polynesia",39.4516,,,,,"No value reported or collected",1.7336,,,93,,
2006Q02,"Q2 2006",266,"Gabon",36.64492,,,,,"No value reported or collected",-2.5351,,,100,,
2006Q02,"Q2 2006",270,"Gambia",14.39868,,,,,"No value reported or collected",33.1223,,,144,,
